epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,517.261,1.24125,2.76525,1.41751,1.40639,0.65657,0.58021,0.58914,0.31283,0.10215,0.02941,0.01286,0.0027,1.54616,2.57003,1.69775,1.75474,0.000280723,0.000280723,0.000280723
86,523.253,1.22323,2.83709,1.43149,1.41704,0.69125,0.59265,0.60715,0.32187,0.07727,0.02941,0.01227,0.00294,1.53405,2.55915,1.65672,1.75794,0.00026422,0.00026422,0.00026422
87,529.637,1.35643,2.9393,1.51014,1.52799,0.6846,0.60963,0.61449,0.32182,0.07418,0.02674,0.01059,0.00264,1.5513,2.55536,1.64676,1.76732,0.000247716,0.000247716,0.000247716
88,536.174,1.32606,3.18582,1.46219,1.46547,0.6846,0.60963,0.61449,0.32182,0.07418,0.02674,0.01059,0.00264,1.5513,2.55536,1.64676,1.76732,0.000231213,0.000231213,0.000231213
89,542.501,1.28803,2.93875,1.47964,1.44531,0.66755,0.60428,0.61222,0.32266,0.06867,0.02941,0.01027,0.00248,1.53735,2.55795,1.62809,1.75456,0.00021471,0.00021471,0.00021471
90,549.111,1.3686,3.03574,1.50296,1.56647,0.66755,0.60428,0.61222,0.32266,0.06867,0.02941,0.01027,0.00248,1.53735,2.55795,1.62809,1.75456,0.000198206,0.000198206,0.000198206
91,555.953,1.37238,2.66094,1.80041,1.70073,0.65351,0.60963,0.61042,0.32959,0.06647,0.03209,0.00999,0.0022,1.52583,2.55178,1.606,1.74028,0.000181703,0.000181703,0.000181703
92,562.448,1.28132,2.51486,1.70426,1.58921,0.66252,0.62299,0.61112,0.32619,0.06306,0.03476,0.00969,0.00205,1.51863,2.57047,1.6099,1.73494,0.0001652,0.0001652,0.0001652
93,567.971,1.36165,2.67864,1.89996,1.63694,0.66252,0.62299,0.61112,0.32619,0.06306,0.03476,0.00969,0.00205,1.51863,2.57047,1.6099,1.73494,0.000148696,0.000148696,0.000148696
94,574.043,1.25308,2.74476,1.69748,1.61921,0.67474,0.58556,0.60379,0.32697,0.05899,0.03743,0.0098,0.0019,1.51062,2.58286,1.60594,1.72915,0.000132193,0.000132193,0.000132193
95,579.765,1.18084,2.59826,1.64011,1.52839,0.69968,0.5918,0.60249,0.32857,0.11714,0.02674,0.00885,0.00171,1.51222,2.59494,1.62286,1.72343,0.00011569,0.00011569,0.00011569
96,585.514,1.13657,2.42947,1.66185,1.53853,0.69968,0.5918,0.60249,0.32857,0.11714,0.02674,0.00885,0.00171,1.51222,2.59494,1.62286,1.72343,9.91865e-05,9.91865e-05,9.91865e-05
97,590.768,1.26706,2.48898,1.61377,1.62268,0.68022,0.59091,0.60358,0.32756,0.08363,0.02674,0.00838,0.00163,1.50973,2.61485,1.6558,1.71539,8.26832e-05,8.26832e-05,8.26832e-05
98,596.326,1.20108,2.60118,1.74287,1.57085,0.68022,0.59091,0.60358,0.32756,0.08363,0.02674,0.00838,0.00163,1.50973,2.61485,1.6558,1.71539,6.61799e-05,6.61799e-05,6.61799e-05
99,601.737,1.14396,2.59895,1.57967,1.5188,0.68861,0.5913,0.60778,0.33419,0.0897,0.02674,0.00926,0.00186,1.509,2.61504,1.66522,1.70966,4.96766e-05,4.96766e-05,4.96766e-05
100,608.286,1.19321,2.60033,1.61674,1.5904,0.67463,0.60695,0.60989,0.33987,0.09223,0.02674,0.00853,0.00171,1.49419,2.60427,1.65222,1.70056,3.31733e-05,3.31733e-05,3.31733e-05
